roi,total_voxels,tracer_covered_voxels,percent_covered
MOB,140640.0,27116.0,0.1928043230944255
AOB,5267.0,2662.0,0.5054110499335485
FRP,6151.0,1908.0,0.31019346447732077
AON,40230.0,8451.0,0.21006711409395973
ORBvl,13268.0,10553.0,0.7953723243895086
ORBm,10203.0,7582.0,0.7431147701656375
ORBl,20967.0,10760.0,0.5131873897076358
TT,10269.0,2942.0,0.28649332943811473
PL,18229.0,13203.0,0.724285479181524
ILA,6280.0,5778.0,0.9200636942675159
AId,25942.0,10030.0,0.38663171690694625
DP,3873.0,2329.0,0.6013426284533953
AIv,12056.0,3986.0,0.33062375580623754
MOs,90680.0,45968.0,0.5069254521393912
ACB,37490.0,13948.0,0.3720458789010403
OT,25812.0,5656.0,0.21912288857895554
MOp,83139.0,30738.0,0.36971818280229496
CLA,3900.0,1905.0,0.48846153846153845
ACAd,24021.0,15656.0,0.6517630406727447
MS,3417.0,3115.0,0.9116183786947615
NDB,4779.0,3020.0,0.6319313663946432
LSr,14580.0,7421.0,0.5089849108367627
GU,11202.0,5236.0,0.4674165327620068
LSv,4415.0,2834.0,0.6419026047565118
SSp_m,47302.0,20446.0,0.43224387975138473
SI,23682.0,9973.0,0.42112152689806603
ACAv,20578.0,12918.0,0.6277577995917971
MEPO,88.0,88.0,1.0
MPO,3587.0,2975.0,0.8293838862559242
BST,10654.0,5760.0,0.5406420123897128
MA,2350.0,1184.0,0.5038297872340426
FS,3325.0,1142.0,0.34345864661654135
LPO,3950.0,2049.0,0.5187341772151899
CP,224123.0,80060.0,0.35721456521642136
PVpo,1221.0,1152.0,0.9434889434889435
MPN,2945.0,2936.0,0.9969439728353141
LSc,4339.0,1957.0,0.4510255819313206
EPd,14610.0,5726.0,0.3919233401779603
PIR,75367.0,13649.0,0.18110048164315948
SF,2471.0,1706.0,0.6904087414002428
TRS,2628.0,1680.0,0.639269406392694
AAA,3708.0,1647.0,0.4441747572815534
SSp_ul,27838.0,12214.0,0.43875278396436523
AD,1354.0,1156.0,0.8537666174298375
PT,1323.0,1321.0,0.99848828420257
SSp_n,23705.0,11289.0,0.4762286437460451
SBPV,519.0,508.0,0.9788053949903661
NLOT,2139.0,915.0,0.4277699859747546
AHN,5599.0,3800.0,0.6786926236828005
PVH,1509.0,1506.0,0.9980119284294234
RCH,645.0,338.0,0.524031007751938
AIp,14842.0,6110.0,0.41166958630912276
AV,3038.0,2636.0,0.8676761026991442
GPe,12105.0,5460.0,0.4510532837670384
COAa,4792.0,2012.0,0.41986644407345575
SSp_ll,15567.0,7587.0,0.4873771439583735
RE,3032.0,3032.0,1.0
SSs,63868.0,25085.0,0.3927631990981399
PVT,2880.0,2875.0,0.9982638888888888
VISC,14036.0,6577.0,0.46858079224850385
RT,10483.0,5145.0,0.49079461986072687
VAL,5936.0,3703.0,0.6238207547169812
IA,987.0,517.0,0.5238095238095238
GPi,2846.0,1495.0,0.5252986647926915
RH,454.0,450.0,0.9911894273127754
LHA,15269.0,7739.0,0.506843932150108
CM,1621.0,1615.0,0.9962985811227637
PAA,6784.0,1525.0,0.2247936320754717
SMT,1991.0,1594.0,0.8006027122049222
EPv,7390.0,2465.0,0.33355886332882273
LD,7425.0,3711.0,0.4997979797979798
VMH,4109.0,2125.0,0.5171574592358238
TU,3304.0,1601.0,0.4845641646489104
MEA,14874.0,7164.0,0.481645824929407
MD,9295.0,8808.0,0.9476062399139322
VM,6776.0,3654.0,0.5392561983471075
ARH,1363.0,991.0,0.727072633895818
BMA,12494.0,5589.0,0.4473347206659196
VPL,6721.0,2751.0,0.409314090165154
CL,2312.0,1437.0,0.6215397923875432
SSp_bfd,49192.0,23108.0,0.4697511790535046
SSp_tr,8580.0,4001.0,0.46631701631701633
IMD,1090.0,1090.0,1.0
DMH,2619.0,1492.0,0.5696830851470027
BLA,15550.0,6179.0,0.39736334405144697
AUDd,9091.0,4801.0,0.5281047189528105
COAp,15635.0,6245.0,0.3994243684042213
PA,7006.0,2830.0,0.40393948044533257
AUDv,11246.0,3325.0,0.2956606793526587
APN,9515.0,4751.0,0.49931686810299525
AUDp,19265.0,9970.0,0.5175188165066182
AMv,1024.0,891.0,0.8701171875
CA1,81923.0,30812.0,0.3761092733420407
CEA,10948.0,5444.0,0.49725977347460726
MH,1673.0,1065.0,0.6365809922295278
SUM,1469.0,1308.0,0.8904016337644656
AMd,1777.0,1752.0,0.9859313449634215
LH,2128.0,1871.0,0.8792293233082706
VPM,12322.0,5778.0,0.46891738354163287
PO,9297.0,4428.0,0.4762826718296225
LA,5725.0,2456.0,0.42899563318777295
STN,1021.0,513.0,0.5024485798237023
VPMpc,1277.0,837.0,0.6554424432263116
PH,4723.0,3499.0,0.7408426847342791
SPFm,368.0,349.0,0.9483695652173914
SPA,643.0,643.0,1.0
PF,3488.0,2176.0,0.6238532110091743
LP,8281.0,5394.0,0.6513706074145634
CA2,207.0,99.0,0.4782608695652174
PVp,877.0,726.0,0.8278221208665907
PMd,890.0,659.0,0.7404494382022472
LGd,5069.0,4908.0,0.9682383113040047
LGv,2738.0,1522.0,0.5558802045288532
CA3,48936.0,23881.0,0.4880047408860553
VISam,4378.0,3824.0,0.8734582000913659
SPFp,826.0,441.0,0.5338983050847458
RSPv,30721.0,15319.0,0.4986491325152176
NPC,1987.0,1463.0,0.7362858580775038
ECT,11042.0,4960.0,0.44919398659663107
MPT,185.0,92.0,0.4972972972972973
DG,48553.0,21868.0,0.45039441435132743
MGm,1600.0,775.0,0.484375
NOT,917.0,484.0,0.5278080697928026
POL,679.0,361.0,0.5316642120765832
VTA,2840.0,2316.0,0.8154929577464789
PERI,4132.0,1764.0,0.4269119070667957
RSPd,21761.0,9993.0,0.4592160286751528
SNc,764.0,400.0,0.5235602094240838
RSPagl,11717.0,6684.0,0.5704531876760263
TR,8985.0,2480.0,0.2760155815247635
MGv,1685.0,766.0,0.4545994065281899
VISal,5646.0,4363.0,0.7727594757350337
TEa,20469.0,7498.0,0.36631002980116273
SNr,11338.0,5124.0,0.4519315575939319
ENTl,47119.0,22106.0,0.4691525711496424
VISl,9335.0,7072.0,0.7575790037493305
VISp,71634.0,53556.0,0.747633805176313
PRE,7213.0,3497.0,0.4848190766671288
PAR,6697.0,2939.0,0.4388532178587427
ENTm,36837.0,15683.0,0.425740424030187
VISa,8745.0,3653.0,0.41772441395082904
VISrl,6929.0,3246.0,0.46846586809063356
SSp-un,9208.0,4273.0,0.4640529973935708
VISli,3739.0,2338.0,0.6253008825889276
LING,950.0,369.0,0.38842105263157894
CENT2,10176.0,4562.0,0.44830974842767296
CENT3,21083.0,4806.0,0.22795617322012995
"CUL4,_5",49713.0,6822.0,0.13722768692293766
DEC,24409.0,601.0,0.024622065631529355
FOTU,7789.0,337.0,0.04326614456284504
PYR,12717.0,2838.0,0.2231658410002359
UVU,19644.0,859.0,0.043728364895133376
NOD,11815.0,3197.0,0.27058823529411763
SIM,40867.0,8709.0,0.21310592898915995
ANcr1,41578.0,8733.0,0.21003896291307902
ANcr2,34121.0,6812.0,0.1996424489317429
PRM,36909.0,2418.0,0.06551247663171585
COPY,19360.0,2385.0,0.12319214876033058
PFL,42985.0,4486.0,0.1043619867395603
FL,10131.0,1374.0,0.13562333432040272
FN,4171.0,1831.0,0.4389834572045073
IP,7054.0,3244.0,0.45988091862772895
DN,2763.0,1158.0,0.4191096634093377
VeCB,636.0,343.0,0.539308176100629
MY,208218.0,112692.0,0.5412212200674293
P,94039.0,46202.0,0.49130679824328205
MB,191918.0,110442.0,0.5754645213059745
